template_id,template_name,template_description,days_per_week,category,day_name,target_muscles,exercise_name,base_sets,set_progression,rep_min,rep_max,equipment,primary_muscle,secondary_muscles
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper A,"chest,back_lats,front_delts,biceps,triceps",Barbell Bench Press,4,0.5,6,8,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper A,"chest,back_lats,front_delts,biceps,triceps",Barbell Row,4,0.5,6,8,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper A,"chest,back_lats,front_delts,biceps,triceps",Overhead Press,3,0.5,8,10,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper A,"chest,back_lats,front_delts,biceps,triceps",Lat Pulldown,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper A,"chest,back_lats,front_delts,biceps,triceps",Barbell Curl,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower A,"quads,hamstrings,glutes,calves",Barbell Squat,4,0.5,6,8,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower A,"quads,hamstrings,glutes,calves",Romanian Deadlift,3,0.5,8,10,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower A,"quads,hamstrings,glutes,calves",Leg Press,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower A,"quads,hamstrings,glutes,calves",Leg Curl,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower A,"quads,hamstrings,glutes,calves",Standing Calf Raise,4,0.5,12,15,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper B,"chest,back_lats,side_delts,biceps,triceps",Incline Dumbbell Press,3,0.5,8,10,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper B,"chest,back_lats,side_delts,biceps,triceps",Dumbbell Row,3,0.5,8,10,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper B,"chest,back_lats,side_delts,biceps,triceps",Dumbbell Lateral Raise,3,0.5,12,15,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper B,"chest,back_lats,side_delts,biceps,triceps",Seated Cable Row,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Upper B,"chest,back_lats,side_delts,biceps,triceps",Tricep Pushdown,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower B,"quads,hamstrings,glutes,calves",Leg Press,4,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower B,"quads,hamstrings,glutes,calves",Hip Thrust,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower B,"quads,hamstrings,glutes,calves",Leg Extension,3,0.5,12,15,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower B,"quads,hamstrings,glutes,calves",Leg Curl,3,0.5,10,12,,,
upper-lower-4,Upper/Lower,Classic 4-day upper/lower split,4,hypertrophy,Lower B,"quads,hamstrings,glutes,calves",Seated Calf Raise,4,0.5,12,15,,,
new-template,My Custom Template,A template with a new exercise,3,hypertrophy,Day 1,"chest,triceps",Barbell Bench Press,4,0.5,6,8,,,
new-template,My Custom Template,A template with a new exercise,3,hypertrophy,Day 1,"chest,triceps",My New Exercise,3,0.5,10,12,dumbbell,chest,"[{""muscle"": ""triceps"", ""weight"": 0.4}]"
